商品ID,平均販売数量,総販売数量,販売回数,販売数量標準偏差,商品カテゴリID,利益重視スコア,数量重視スコア,商品利益カテゴリ,商品数量カテゴリ
5000001,1.0063694267515924,158.0,157,0.07980868844676221,500,0.20127388535031848,31.6,低利益,低数量
5000002,1.0238095238095237,172.0,168,0.18803684670068568,500,0.20476190476190476,34.4,低利益,低数量
5000003,1.0,175.0,175,0.0,500,0.2,35.0,低利益,低数量
5000004,1.0,94.0,94,0.0,500,0.2,18.8,低利益,低数量
5000005,1.0721311475409836,654.0,610,0.27130478836688304,500,0.21442622950819673,130.8,低利益,低数量
5000006,1.0083333333333333,121.0,120,0.09128709291752767,500,0.20166666666666666,24.200000000000003,低利益,低数量
5000007,1.0087719298245614,115.0,114,0.09365858115816939,500,0.2017543859649123,23.0,低利益,低数量
5000008,1.0,30.0,30,0.0,500,0.2,6.0,低利益,低数量
5000009,1.0215827338129497,142.0,139,0.14584217692177978,500,0.20431654676258995,28.400000000000002,低利益,低数量
5000010,1.0159362549800797,255.0,251,0.12547916129907286,500,0.20318725099601595,51.0,低利益,低数量
5000011,1.0121212121212122,167.0,165,0.10976020358583854,500,0.20242424242424245,33.4,低利益,低数量
5000012,1.0,43.0,43,0.0,500,0.2,8.6,低利益,低数量
5000013,1.0,31.0,31,0.0,500,0.2,6.2,低利益,低数量
5000014,1.0,22.0,22,0.0,500,0.2,4.4,低利益,低数量
5000015,1.0,127.0,127,0.0,500,0.2,25.400000000000002,低利益,低数量
5000016,1.0,44.0,44,0.0,500,0.2,8.8,低利益,低数量
5000017,1.0,59.0,59,0.0,500,0.2,11.8,低利益,低数量
5000018,1.0166666666666666,61.0,60,0.12909944487358055,500,0.20333333333333334,12.200000000000001,低利益,低数量
5000019,1.0,105.0,105,0.0,500,0.2,21.0,低利益,低数量
5000020,1.0,53.0,53,0.0,500,0.2,10.600000000000001,低利益,低数量
5000021,1.0,107.0,107,0.0,500,0.2,21.400000000000002,低利益,低数量
5000022,1.0,44.0,44,0.0,500,0.2,8.8,低利益,低数量
5000023,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000024,1.0,73.0,73,0.0,500,0.2,14.600000000000001,低利益,低数量
5000025,1.0,47.0,47,0.0,500,0.2,9.4,低利益,低数量
5000026,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000027,1.0,73.0,73,0.0,500,0.2,14.600000000000001,低利益,低数量
5000028,1.0,10.0,10,0.0,500,0.2,2.0,低利益,低数量
5000029,1.0,56.0,56,0.0,500,0.2,11.200000000000001,低利益,低数量
5000030,1.0,33.0,33,0.0,500,0.2,6.6000000000000005,低利益,低数量
5000031,1.0,120.0,120,0.0,500,0.2,24.0,低利益,低数量
5000032,1.0067114093959733,150.0,149,0.08192319205190403,500,0.20134228187919467,30.0,低利益,低数量
5000033,1.0212765957446808,192.0,188,0.1778495070272797,500,0.20425531914893616,38.400000000000006,低利益,低数量
5000034,1.0,42.0,42,0.0,500,0.2,8.4,低利益,低数量
5000035,1.0579064587973275,475.0,449,0.23382701210008872,500,0.2115812917594655,95.0,低利益,低数量
5000036,1.0,46.0,46,0.0,500,0.2,9.200000000000001,低利益,低数量
5000037,1.0084745762711864,119.0,118,0.09205746178983233,500,0.2016949152542373,23.8,低利益,低数量
5000038,1.0,2.0,2,0.0,500,0.2,0.4,低利益,低数量
5000039,1.0,62.0,62,0.0,500,0.2,12.4,低利益,低数量
5000040,1.0,138.0,138,0.0,500,0.2,27.6,低利益,低数量
5000041,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000042,1.0,61.0,61,0.0,500,0.2,12.200000000000001,低利益,低数量
5000043,1.0,99.0,99,0.0,500,0.2,19.8,低利益,低数量
5000044,1.0,92.0,92,0.0,500,0.2,18.400000000000002,低利益,低数量
5000045,1.0,135.0,135,0.0,500,0.2,27.0,低利益,低数量
5000046,1.0,40.0,40,0.0,500,0.2,8.0,低利益,低数量
5000047,1.0,88.0,88,0.0,500,0.2,17.6,低利益,低数量
5000048,1.0,21.0,21,0.0,500,0.2,4.2,低利益,低数量
5000049,1.0,45.0,45,0.0,500,0.2,9.0,低利益,低数量
5000050,1.0251572327044025,326.0,318,0.15684932328722923,500,0.2050314465408805,65.2,低利益,低数量
5000051,1.0,116.0,116,0.0,500,0.2,23.200000000000003,低利益,低数量
5000052,1.010989010989011,92.0,91,0.10482848367219182,500,0.2021978021978022,18.400000000000002,低利益,低数量
5000053,1.0,94.0,94,0.0,500,0.2,18.8,低利益,低数量
5000054,1.0134680134680134,301.0,297,0.11546217272991763,500,0.2026936026936027,60.2,低利益,低数量
5000055,1.0057471264367817,175.0,174,0.07580980435789032,500,0.20114942528735635,35.0,低利益,低数量
5000056,1.0,71.0,71,0.0,500,0.2,14.200000000000001,低利益,低数量
5000057,1.0,120.0,120,0.0,500,0.2,24.0,低利益,低数量
5000058,1.0,168.0,168,0.0,500,0.2,33.6,低利益,低数量
5000059,1.0061728395061729,163.0,162,0.07856742013183862,500,0.2012345679012346,32.6,低利益,低数量
5000060,1.0,47.0,47,0.0,500,0.2,9.4,低利益,低数量
5000061,1.0,18.0,18,0.0,500,0.2,3.6,低利益,低数量
5000062,1.0,47.0,47,0.0,500,0.2,9.4,低利益,低数量
5000063,1.0,40.0,40,0.0,500,0.2,8.0,低利益,低数量
5000064,1.0,32.0,32,0.0,500,0.2,6.4,低利益,低数量
5000065,1.0,26.0,26,0.0,500,0.2,5.2,低利益,低数量
5000066,1.0,32.0,32,0.0,500,0.2,6.4,低利益,低数量
5000067,1.0,76.0,76,0.0,500,0.2,15.200000000000001,低利益,低数量
5000068,1.0112994350282485,179.0,177,0.10599638528205012,500,0.2022598870056497,35.800000000000004,低利益,低数量
5000069,1.0,122.0,122,0.0,500,0.2,24.400000000000002,低利益,低数量
5000070,1.0,58.0,58,0.0,500,0.2,11.600000000000001,低利益,低数量
5000071,1.0,68.0,68,0.0,500,0.2,13.600000000000001,低利益,低数量
5000072,1.0,100.0,100,0.0,500,0.2,20.0,低利益,低数量
5000073,1.0,142.0,142,0.0,500,0.2,28.400000000000002,低利益,低数量
5000074,1.0,58.0,58,0.0,500,0.2,11.600000000000001,低利益,低数量
5000075,1.0,25.0,25,0.0,500,0.2,5.0,低利益,低数量
5000076,1.0,113.0,113,0.0,500,0.2,22.6,低利益,低数量
5000077,1.0,127.0,127,0.0,500,0.2,25.400000000000002,低利益,低数量
5000078,1.0,119.0,119,0.0,500,0.2,23.8,低利益,低数量
5000079,1.0303030303030303,136.0,132,0.17207285601455768,500,0.20606060606060606,27.200000000000003,低利益,低数量
5000080,1.0,193.0,193,0.0,500,0.2,38.6,低利益,低数量
5000081,1.0,56.0,56,0.0,500,0.2,11.200000000000001,低利益,低数量
5000082,1.0,64.0,64,0.0,500,0.2,12.8,低利益,低数量
5000083,1.0,2.0,2,0.0,500,0.2,0.4,低利益,低数量
5000084,1.0,79.0,79,0.0,500,0.2,15.8,低利益,低数量
5000085,1.0,54.0,54,0.0,500,0.2,10.8,低利益,低数量
5000086,1.0,67.0,67,0.0,500,0.2,13.4,低利益,低数量
5000087,1.0,108.0,108,0.0,500,0.2,21.6,低利益,低数量
5000088,1.0,108.0,108,0.0,500,0.2,21.6,低利益,低数量
5000089,1.0449438202247192,279.0,267,0.2075698465405556,500,0.20898876404494385,55.800000000000004,低利益,低数量
5000090,1.0,34.0,34,0.0,500,0.2,6.800000000000001,低利益,低数量
5000091,1.0,171.0,171,0.0,500,0.2,34.2,低利益,低数量
5000092,1.0,111.0,111,0.0,500,0.2,22.200000000000003,低利益,低数量
5000093,1.0103626943005182,195.0,193,0.10153187644463983,500,0.20207253886010365,39.0,低利益,低数量
5000094,1.0058479532163742,172.0,171,0.07647191129018725,500,0.20116959064327486,34.4,低利益,低数量
5000095,1.0,66.0,66,0.0,500,0.2,13.200000000000001,低利益,低数量
5000096,1.0,42.0,42,0.0,500,0.2,8.4,低利益,低数量
5000097,1.0,113.0,113,0.0,500,0.2,22.6,低利益,低数量
5000098,1.0,104.0,104,0.0,500,0.2,20.8,低利益,低数量
5000099,1.0,28.0,28,0.0,500,0.2,5.6000000000000005,低利益,低数量
5000100,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000101,1.007936507936508,127.0,126,0.08908708063747481,500,0.2015873015873016,25.400000000000002,低利益,低数量
5000102,1.0,6.0,6,0.0,500,0.2,1.2000000000000002,低利益,低数量
5000103,1.0133333333333334,228.0,225,0.11495340671022203,500,0.2026666666666667,45.6,低利益,低数量
5000104,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000105,1.0,79.0,79,0.0,500,0.2,15.8,低利益,低数量
5000106,1.0,12.0,12,0.0,500,0.2,2.4000000000000004,低利益,低数量
5000107,1.0,150.0,150,0.0,500,0.2,30.0,低利益,低数量
5000108,1.0,60.0,60,0.0,500,0.2,12.0,低利益,低数量
5000109,1.0,156.0,156,0.0,500,0.2,31.200000000000003,低利益,低数量
5000110,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000111,1.0,83.0,83,0.0,500,0.2,16.6,低利益,低数量
5000112,1.0192307692307692,53.0,52,0.1386750490563073,500,0.20384615384615384,10.600000000000001,低利益,低数量
5000113,1.0,53.0,53,0.0,500,0.2,10.600000000000001,低利益,低数量
5000114,1.0,31.0,31,0.0,500,0.2,6.2,低利益,低数量
5000115,1.0,163.0,163,0.0,500,0.2,32.6,低利益,低数量
5000116,1.0,41.0,41,0.0,500,0.2,8.200000000000001,低利益,低数量
5000117,1.0,128.0,128,0.0,500,0.2,25.6,低利益,低数量
5000118,1.0112359550561798,90.0,89,0.105999788000636,500,0.20224719101123598,18.0,低利益,低数量
5000119,1.0,22.0,22,0.0,500,0.2,4.4,低利益,低数量
5000120,1.0,142.0,142,0.0,500,0.2,28.400000000000002,低利益,低数量
5000121,1.0,111.0,111,0.0,500,0.2,22.200000000000003,低利益,低数量
5000122,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5000123,1.0,19.0,19,0.0,500,0.2,3.8000000000000003,低利益,低数量
5000124,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000125,1.0,33.0,33,0.0,500,0.2,6.6000000000000005,低利益,低数量
5000126,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000127,1.0,118.0,118,0.0,500,0.2,23.6,低利益,低数量
5000128,1.0,162.0,162,0.0,500,0.2,32.4,低利益,低数量
5000129,1.0,21.0,21,0.0,500,0.2,4.2,低利益,低数量
5000130,1.0,38.0,38,0.0,500,0.2,7.6000000000000005,低利益,低数量
5000131,1.0,142.0,142,0.0,500,0.2,28.400000000000002,低利益,低数量
5000132,1.0,131.0,131,0.0,500,0.2,26.200000000000003,低利益,低数量
5000133,1.0,118.0,118,0.0,500,0.2,23.6,低利益,低数量
5000134,1.0,18.0,18,0.0,500,0.2,3.6,低利益,低数量
5000135,1.0185185185185186,55.0,54,0.13608276348795437,500,0.20370370370370372,11.0,低利益,低数量
5000136,1.0,200.0,200,0.0,500,0.2,40.0,低利益,低数量
5000137,1.0,45.0,45,0.0,500,0.2,9.0,低利益,低数量
5000138,1.0,21.0,21,0.0,500,0.2,4.2,低利益,低数量
5000139,1.0,25.0,25,0.0,500,0.2,5.0,低利益,低数量
5000140,1.0,28.0,28,0.0,500,0.2,5.6000000000000005,低利益,低数量
5000141,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000142,1.0,16.0,16,0.0,500,0.2,3.2,低利益,低数量
5000143,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000144,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000145,1.0,46.0,46,0.0,500,0.2,9.200000000000001,低利益,低数量
5000146,1.0059171597633136,170.0,169,0.0769230769230769,500,0.20118343195266275,34.0,低利益,低数量
5000147,1.0,46.0,46,0.0,500,0.2,9.200000000000001,低利益,低数量
5000148,1.0,60.0,60,0.0,500,0.2,12.0,低利益,低数量
5000149,1.0,59.0,59,0.0,500,0.2,11.8,低利益,低数量
5000150,1.0,50.0,50,0.0,500,0.2,10.0,低利益,低数量
5000151,1.0,16.0,16,0.0,500,0.2,3.2,低利益,低数量
5000152,1.0,5.0,5,0.0,500,0.2,1.0,低利益,低数量
5000153,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000154,1.0,43.0,43,0.0,500,0.2,8.6,低利益,低数量
5000155,1.0,31.0,31,0.0,500,0.2,6.2,低利益,低数量
5000156,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000157,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000158,1.0588235294117647,18.0,17,0.24253562503633297,500,0.21176470588235297,3.6,低利益,低数量
5000159,1.0,29.0,29,0.0,500,0.2,5.800000000000001,低利益,低数量
5000160,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000161,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000162,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000163,1.0,6.0,6,0.0,500,0.2,1.2000000000000002,低利益,低数量
5000164,1.0,84.0,84,0.0,500,0.2,16.8,低利益,低数量
5000165,1.0,12.0,12,0.0,500,0.2,2.4000000000000004,低利益,低数量
5000166,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000167,1.0,13.0,13,0.0,500,0.2,2.6,低利益,低数量
5000168,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000169,1.0,19.0,19,0.0,500,0.2,3.8000000000000003,低利益,低数量
5000170,1.0,21.0,21,0.0,500,0.2,4.2,低利益,低数量
5000171,1.0,32.0,32,0.0,500,0.2,6.4,低利益,低数量
5000172,1.0,15.0,15,0.0,500,0.2,3.0,低利益,低数量
5000173,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000174,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000175,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000176,1.0654450261780104,407.0,382,0.26799476209061357,500,0.2130890052356021,81.4,低利益,低数量
5000177,1.0,17.0,17,0.0,500,0.2,3.4000000000000004,低利益,低数量
5000178,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000179,1.0,12.0,12,0.0,500,0.2,2.4000000000000004,低利益,低数量
5000180,1.0,17.0,17,0.0,500,0.2,3.4000000000000004,低利益,低数量
5000181,1.0,16.0,16,0.0,500,0.2,3.2,低利益,低数量
5000182,1.0,19.0,19,0.0,500,0.2,3.8000000000000003,低利益,低数量
5000183,1.0,30.0,30,0.0,500,0.2,6.0,低利益,低数量
5000184,1.0,44.0,44,0.0,500,0.2,8.8,低利益,低数量
5000185,2.0,2.0,1,,500,0.4,0.4,中利益,低数量
5000186,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000187,1.0,81.0,81,0.0,500,0.2,16.2,低利益,低数量
5000188,1.0,93.0,93,0.0,500,0.2,18.6,低利益,低数量
5000189,1.0,11.0,11,0.0,500,0.2,2.2,低利益,低数量
5000190,1.0,2.0,2,0.0,500,0.2,0.4,低利益,低数量
5000191,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000192,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000193,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000194,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000195,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000196,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000197,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000198,1.0,51.0,51,0.0,500,0.2,10.200000000000001,低利益,低数量
5000199,1.0,74.0,74,0.0,500,0.2,14.8,低利益,低数量
5000200,1.0,15.0,15,0.0,500,0.2,3.0,低利益,低数量
5000201,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5000202,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5000203,1.0539845758354756,410.0,389,0.22627829268593885,500,0.21079691516709512,82.0,低利益,低数量
5000204,1.0,30.0,30,0.0,500,0.2,6.0,低利益,低数量
5000205,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000206,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000207,1.0,15.0,15,0.0,500,0.2,3.0,低利益,低数量
5000208,1.0,8.0,8,0.0,500,0.2,1.6,低利益,低数量
5000209,1.0,28.0,28,0.0,500,0.2,5.6000000000000005,低利益,低数量
5000210,1.0,37.0,37,0.0,500,0.2,7.4,低利益,低数量
5000211,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000212,1.0892857142857142,61.0,56,0.34518957712515624,500,0.21785714285714286,12.200000000000001,低利益,低数量
5000213,1.0,26.0,26,0.0,500,0.2,5.2,低利益,低数量
5000214,1.0,19.0,19,0.0,500,0.2,3.8000000000000003,低利益,低数量
5000215,1.0,39.0,39,0.0,500,0.2,7.800000000000001,低利益,低数量
5000216,1.0833333333333333,39.0,36,0.280305955290694,500,0.21666666666666667,7.800000000000001,低利益,低数量
5000217,1.0476190476190477,22.0,21,0.21821789023599236,500,0.20952380952380956,4.4,低利益,低数量
5000218,1.04,26.0,25,0.2,500,0.20800000000000002,5.2,低利益,低数量
5000219,1.0,17.0,17,0.0,500,0.2,3.4000000000000004,低利益,低数量
5000220,1.0,1.0,1,,500,0.2,0.2,低利益,低数量
5000221,1.0,32.0,32,0.0,500,0.2,6.4,低利益,低数量
5000222,1.0,63.0,63,0.0,500,0.2,12.600000000000001,低利益,低数量
5000223,1.0,35.0,35,0.0,500,0.2,7.0,低利益,低数量
5000224,1.0,18.0,18,0.0,500,0.2,3.6,低利益,低数量
5000225,1.0263157894736843,39.0,38,0.16222142113076257,500,0.20526315789473687,7.800000000000001,低利益,低数量
5000226,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000227,1.0,24.0,24,0.0,500,0.2,4.800000000000001,低利益,低数量
