店舗ID,店舗平均販売数量,店舗販売数量標準偏差,店舗総販売数量,店舗販売回数,店舗商品種類数,店舗規模カテゴリ,店舗多様性カテゴリ
0,1.1071476555152493,0.3638264262529684,98886.0,89316,7512,超大規模,最高多様性
1,1.067043792995997,0.28377504018306127,44516.0,41719,5634,小規模,中多様性
2,1.0580736823411014,0.2614528417543101,53620.0,50677,6023,小規模,中多様性
3,1.0798507845349195,0.31109673643657604,84237.0,78008,6581,大規模,高多様性
4,1.0748032848847198,0.29746535417043035,62560.0,58206,5560,中規模,中多様性
5,1.058976706337097,0.26485359162664585,52054.0,49155,5195,小規模,低多様性
6,1.083811918759416,0.31934451607788167,95680.0,88281,6688,大規模,高多様性
7,1.092166630838108,0.3349050146689503,116852.0,106991,7407,超大規模,最高多様性
8,1.060448261978258,0.2732637353185312,39507.0,37255,5536,小規模,中多様性
9,1.106558452512605,0.36101531295074757,59036.0,53351,5634,中規模,中多様性
10,1.09926614820114,0.3478596368824173,95269.0,86666,6434,大規模,高多様性
11,1.0730479869865799,0.2962139017356219,42218.0,39344,4770,小規模,低多様性
12,1.0672377343985944,0.2867267968148284,38872.0,36423,5849,小規模,中多様性
13,1.1048213413992132,0.357351730522125,115424.0,104473,6821,超大規模,高多様性
14,1.074317636967471,0.297642487824523,48846.0,45467,5316,小規模,低多様性
15,1.0643110517344636,0.28020001442897324,46206.0,43414,5346,小規模,低多様性
16,1.0594398880873357,0.264381898184072,38624.0,36457,5346,小規模,低多様性
17,1.0589057857018005,0.26362568101115436,54522.0,51489,5145,小規模,低多様性
