商品カテゴリID,商品カテゴリ名
500,トレーディングカード - スターター
510,トレーディングカード - パック
520,トレーディングカード - デッキ
530,トレカグッズ - 限定品
540,トレカグッズ - セット
550,トレカグッズ - デッキケース
560,トレカグッズ - アクセサリ
600,プラモデル - タイプH
610,プラモデル - タイプM
620,プラモデル - タイプR
630,スケールモデル - タイプA
640,スケールモデル - タイプB
650,スケールモデル - タイプC
660,スケールモデル - タイプD
670,トレインモデル - タイプP
680,ミニチュアカー - タイプT
690,ミニチュアカー - タイプK
700,フィギュア - タイプF
710,フィギュア - タイプM
720,ミニフィギュア - タイプG1
730,ミニフィギュア - タイプG2
740,ミニフィギュア - タイプG3
800,キャラクターグッズ - ステイショナリー
810,キャラクターグッズ - シーズンA
820,キャラクターグッズ - シーズンB
900,雑貨 - 一般
