商品ID,商品カテゴリID
5600001,560
5600002,560
5600003,560
5600004,560
5600005,560
5600006,560
5600007,560
5600008,560
5600009,560
5600010,560
5600011,560
5600012,560
5600013,560
5600014,560
5600015,560
5600016,560
5600017,560
5600018,560
5600019,560
5600020,560
5600021,560
5600022,560
5600023,560
5600024,560
5600025,560
5600026,560
5600027,560
5600028,560
5600029,560
5600030,560
5600031,560
5600032,560
5600033,560
5600034,560
5600035,560
5600036,560
5600037,560
5600038,560
5600039,560
5600040,560
5600041,560
5600042,560
5600043,560
5600044,560
5600045,560
5600046,560
5600047,560
5600048,560
5600049,560
5600050,560
5600051,560
5600052,560
5600053,560
5600054,560
5600055,560
5600056,560
5600057,560
5600058,560
5600059,560
5600060,560
5600061,560
5600062,560
5600063,560
5600064,560
5600065,560
5600066,560
5600067,560
5600068,560
5600069,560
5600070,560
5600071,560
5600072,560
5600073,560
5600074,560
5600075,560
5600076,560
5600077,560
5600078,560
5600079,560
5600080,560
5600081,560
5600082,560
5600083,560
5600084,560
5600085,560
5600086,560
5600087,560
5600088,560
5600089,560
5600090,560
5600091,560
5600092,560
5600093,560
5600094,560
5600095,560
5600096,560
5600097,560
5600098,560
5600099,560
5600100,560
5600101,560
5600102,560
5600103,560
5600104,560
5600105,560
5600106,560
5600107,560
5600108,560
5600109,560
5600110,560
5600111,560
5600112,560
5600113,560
5600114,560
5600115,560
5600116,560
5600117,560
5600118,560
5600119,560
5600120,560
5600121,560
5600122,560
5600123,560
5600124,560
5600125,560
5600126,560
5600127,560
5600128,560
5600129,560
5600130,560
5600131,560
5600132,560
5600133,560
5600134,560
5600135,560
5600136,560
5600137,560
5600138,560
5600139,560
5600140,560
5600141,560
5600142,560
5600143,560
5600144,560
5600145,560
5600146,560
5600147,560
5600148,560
5600149,560
5600150,560
5600151,560
5600152,560
5600153,560
5600154,560
5600155,560
5600156,560
5600157,560
5600158,560
5600159,560
5600160,560
5600161,560
5600162,560
5600163,560
5600164,560
5600165,560
5600166,560
5600167,560
5600168,560
5600169,560
5600170,560
5600171,560
5600172,560
5600173,560
5600174,560
5600175,560
5600176,560
5600177,560
5600178,560
5600179,560
5600180,560
5600181,560
5600182,560
5600183,560
5600184,560
5600185,560
5600186,560
5600187,560
5600188,560
5600189,560
5600190,560
5600191,560
5600192,560
5600193,560
5600194,560
5600195,560
5600196,560
5600197,560
5600198,560
5600199,560
5600200,560
5600201,560
5600202,560
5600203,560
5600204,560
5600205,560
5600206,560
5600207,560
5600208,560
5600209,560
5600210,560
5600211,560
5600212,560
5600213,560
5600214,560
5600215,560
5600216,560
5600217,560
5600218,560
5600219,560
5600220,560
5600221,560
5600222,560
5600223,560
5600224,560
5600225,560
5600226,560
5600227,560
5600228,560
5600229,560
5600230,560
5600231,560
5600232,560
5600233,560
5600234,560
5600235,560
5600236,560
5600237,560
5600238,560
5600239,560
5600240,560
5600241,560
5600242,560
5600243,560
5600244,560
5600245,560
5600246,560
5600247,560
5600248,560
5600249,560
5600250,560
5600251,560
5600252,560
5600253,560
5600254,560
5600255,560
5600256,560
5600257,560
5600258,560
5600259,560
5600260,560
5600261,560
5600262,560
5600263,560
5600264,560
5600265,560
5600266,560
5600267,560
5600268,560
5600269,560
5600270,560
5600271,560
5600272,560
5600273,560
5600274,560
5600275,560
5600276,560
5600277,560
5600278,560
5600279,560
5600280,560
5600281,560
5600282,560
5600283,560
5600284,560
5600285,560
5600286,560
5600287,560
5600288,560
5600289,560
5600290,560
5600291,560
5600292,560
5600293,560
5600294,560
5600295,560
5600296,560
5600297,560
5600298,560
5600299,560
5600300,560
5600301,560
5600302,560
5600303,560
5600304,560
5600305,560
5600306,560
5600307,560
5600308,560
5600309,560
5600310,560
5600311,560
5600312,560
5600313,560
5600314,560
5600315,560
5600316,560
5600317,560
5600318,560
5600319,560
5600320,560
5600321,560
5600322,560
5600323,560
5600324,560
5600325,560
5600326,560
5600327,560
5600328,560
5600329,560
5600330,560
5600331,560
5600332,560
5600333,560
5600334,560
5600335,560
5600336,560
5600337,560
5600338,560
5600339,560
5600340,560
5600341,560
5600342,560
5600343,560
5600344,560
5600345,560
5600346,560
5600347,560
5600348,560
5600349,560
5600350,560
5600351,560
5600352,560
5600353,560
5600354,560
5600355,560
5600356,560
5600357,560
5600358,560
5600359,560
5600360,560
5600361,560
5600362,560
5600363,560
5600364,560
5600365,560
5600366,560
5600367,560
5600368,560
5600369,560
5600370,560
5600371,560
5600372,560
5600373,560
5600374,560
5600375,560
5600376,560
5600377,560
5600378,560
5600379,560
5600380,560
5600381,560
5600382,560
5600383,560
5600384,560
5600385,560
5600386,560
5600387,560
5600388,560
5600389,560
5600390,560
5600391,560
5600392,560
5600393,560
5600394,560
5600395,560
5600396,560
5600397,560
5600398,560
5600399,560
5600400,560
5600401,560
5600402,560
5600403,560
5600404,560
5600405,560
5600406,560
5600407,560
5600408,560
5600409,560
5600410,560
5600411,560
5600412,560
5600413,560
5600414,560
5600415,560
5600416,560
5600417,560
5600418,560
5600419,560
5600420,560
5600421,560
5600422,560
5600423,560
5600424,560
5600425,560
5600426,560
5600427,560
5600428,560
5600429,560
5600430,560
5600431,560
5600432,560
5600433,560
5600434,560
5600435,560
5600436,560
5600437,560
5600438,560
5600439,560
5600440,560
5600441,560
5600442,560
5600443,560
5600444,560
5600445,560
5600446,560
5600447,560
5600448,560
5600449,560
5600450,560
5600451,560
5600452,560
5600453,560
5600454,560
5600455,560
5600456,560
5600457,560
5600458,560
5600459,560
5600460,560
5600461,560
5600462,560
5600463,560
5600464,560
5600465,560
5600466,560
5600467,560
5600468,560
5600469,560
5600470,560
5600471,560
5600472,560
5600473,560
5600474,560
5600475,560
5600476,560
5600477,560
5600478,560
5600479,560
5600480,560
5600481,560
5600482,560
5600483,560
5600484,560
5600485,560
5600486,560
5600487,560
5600488,560
5600489,560
5600490,560
5600491,560
5600492,560
5600493,560
5600494,560
5600495,560
5600496,560
5600497,560
5600498,560
5600499,560
5600500,560
5600501,560
5600502,560
5600503,560
5600504,560
5600505,560
5600506,560
5600507,560
5600508,560
5600509,560
5600510,560
5600511,560
5600512,560
5600513,560
5600514,560
5600515,560
5600516,560
5600517,560
5600518,560
5600519,560
5600520,560
5600521,560
5600522,560
5600523,560
5600524,560
5600525,560
5600526,560
5600527,560
5600528,560
5600529,560
5600530,560
5600531,560
5600532,560
5600533,560
5600534,560
5600535,560
5600536,560
5600537,560
5600538,560
5600539,560
5600540,560
5600541,560
5600542,560
5600543,560
5600544,560
5600545,560
5600546,560
5600547,560
5600548,560
5600549,560
5600550,560
5600551,560
5600552,560
5600553,560
5600554,560
